序号,玩家名称,祝福语内容,主城事件类型,主城事件子类型
39,丁春秋,一江春水向东流，发个信息给朋友；红花绿叶青苹果，今天是否想起我？,2,3
40,周文,山外青山楼外楼，天天上班烦不烦？发个短信吹吹牛，化解你我心中愁！,2,3
41,孟小勇,生活如意，事业高升。,2,4
42,李艳,前程似锦，美梦成真。,2,4
43,姜昆,年年今日，岁岁今朝。,2,4
44,庞月云,百事可乐，万事芬达。,2,4
45,潘江河,愿与同僚，共分此乐。,2,4
46,孙梦怡,事业有成，幸福快乐。,2,4
47,陈冲之,生日快乐，幸福安康。,2,4
48,陈自瑶,幸福快乐，与君同在。,2,4
49,孟小勇,生活如意，事业高升。,3,5
50,李艳,前程似锦，美梦成真。,3,5
51,姜昆,年年今日，岁岁今朝。,3,5
52,庞月云,百事可乐，万事芬达。,3,5
53,潘江河,愿与同僚，共分此乐。,3,5
54,孙梦怡,事业有成，幸福快乐。,3,5
55,陈冲之,生日快乐，幸福安康。,3,5
56,陈自瑶,幸福快乐，与君同在。,3,5
57,孙怡飞,人生是一道风景，快乐是一种心境。,3,5
58,刘国胜,春看桃，夏见柳，秋观菊，冬赏梅，愿幸福陪伴你。,3,5
59,赵东平,月圆是诗，月缺是画，日上灿烂，日落浪漫，祝您永远快乐。,3,5
60,罗大江,得失平常事，是非任由之，恩怨心不愧，冷暖我自知，坎坷人生路，曲折事业梯，凡事太在意，一生好运气！,3,5
61,余大鹏,高雅的人，看背影就知道；奋进的人，听脚步就知道；和善的人，看笑脸就知道；吉祥的人，看您就知道。,3,5
62,蔡洪文,我用祝福为你捻线织衣：前身是平安，后身是幸福，厚肩是吉祥，袖里藏如意，领子蕴藏体贴，口袋盛满快乐。,3,5
63,丁春秋,一江春水向东流，发个信息给朋友；红花绿叶青苹果，今天是否想起我？,3,5
64,周文,山外青山楼外楼，天天上班烦不烦？发个短信吹吹牛，化解你我心中愁！,3,5
65,孙梦怡,事业有成，幸福快乐。,3,6
66,陈冲之,生日快乐，幸福安康。,3,6
67,陈自瑶,幸福快乐，与君同在。,3,6
68,孙怡飞,人生是一道风景，快乐是一种心境。,3,6
69,刘国胜,春看桃，夏见柳，秋观菊，冬赏梅，愿幸福陪伴你。,3,6
70,赵东平,月圆是诗，月缺是画，日上灿烂，日落浪漫，祝您永远快乐。,3,6
71,罗大江,得失平常事，是非任由之，恩怨心不愧，冷暖我自知，坎坷人生路，曲折事业梯，凡事太在意，一生好运气！,3,6
72,余大鹏,高雅的人，看背影就知道；奋进的人，听脚步就知道；和善的人，看笑脸就知道；吉祥的人，看您就知道。,3,6
