序号,名字,品质,类型,属性掉落ID,属性最大等级,被动最大等级,图标,介绍
1111004,短刀,1,1,11104,8,4,CommonKnife01_Tex,花纹钢小短刀，做工粗糙，刀刃有点磨损，只能用来防身……
1211004,班剑,1,2,12104,8,4,CommonSword01_Tex,朝服佩剑，纹饰好看，后用作仪仗，由武士佩持，天子以赐功臣。但是杀伤力……
1311004,木矛,1,3,13104,8,4,CommonSpear01_Tex,矛头和矛杆都由木头所制，一不小心就会折断，而且非常容易腐朽。
1411004,木弓,1,4,14104,8,4,CommonBow01_Tex,木制的弓，只比隔壁老王为他儿子做的那只弹弓强力那么一点点。
1511004,羽扇,1,5,15104,8,4,CommonFan01_Tex,鹅毛所制羽扇，居家旅行，纳凉防暑，八卦聊天，必备佳品。
1111005,短刀,1,1,11105,8,4,CommonKnife01_Tex,花纹钢小短刀，做工粗糙，刀刃有点磨损，只能用来防身……
1211005,班剑,1,2,12105,8,4,CommonSword01_Tex,朝服佩剑，纹饰好看，后用作仪仗，由武士佩持，天子以赐功臣。但是杀伤力……
1311005,木矛,1,3,13105,8,4,CommonSpear01_Tex,矛头和矛杆都由木头所制，一不小心就会折断，而且非常容易腐朽。
1411005,木弓,1,4,14105,8,4,CommonBow01_Tex,木制的弓，只比隔壁老王为他儿子做的那只弹弓强力那么一点点。
1511005,羽扇,1,5,15105,8,4,CommonFan01_Tex,鹅毛所制羽扇，居家旅行，纳凉防暑，八卦聊天，必备佳品。
1111006,短刀,1,1,11106,8,4,CommonKnife01_Tex,花纹钢小短刀，做工粗糙，刀刃有点磨损，只能用来防身……
1211006,班剑,1,2,12106,8,4,CommonSword01_Tex,朝服佩剑，纹饰好看，后用作仪仗，由武士佩持，天子以赐功臣。但是杀伤力……
1311006,木矛,1,3,13106,8,4,CommonSpear01_Tex,矛头和矛杆都由木头所制，一不小心就会折断，而且非常容易腐朽。
1411006,木弓,1,4,14106,8,4,CommonBow01_Tex,木制的弓，只比隔壁老王为他儿子做的那只弹弓强力那么一点点。
1511006,羽扇,1,5,15106,8,4,CommonFan01_Tex,鹅毛所制羽扇，居家旅行，纳凉防暑，八卦聊天，必备佳品。
1121001,弯刀,2,1,21101,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221001,折铁剑,2,2,22101,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321001,尖头枪,2,3,23101,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421001,铁脊弓,2,4,24101,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521001,黑羽扇,2,5,25101,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1121002,弯刀,2,1,21102,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221002,折铁剑,2,2,22102,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321002,尖头枪,2,3,23102,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421002,铁脊弓,2,4,24102,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521002,黑羽扇,2,5,25102,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1121003,弯刀,2,1,21103,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221003,折铁剑,2,2,22103,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321003,尖头枪,2,3,23103,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421003,铁脊弓,2,4,24103,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521003,黑羽扇,2,5,25103,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1121004,弯刀,2,1,21104,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221004,折铁剑,2,2,22104,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321004,尖头枪,2,3,23104,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421004,铁脊弓,2,4,24104,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521004,黑羽扇,2,5,25104,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1121005,弯刀,2,1,21105,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221005,折铁剑,2,2,22105,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321005,尖头枪,2,3,23105,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421005,铁脊弓,2,4,24105,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521005,黑羽扇,2,5,25105,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1121006,弯刀,2,1,21106,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221006,折铁剑,2,2,22106,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321006,尖头枪,2,3,23106,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421006,铁脊弓,2,4,24106,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521006,黑羽扇,2,5,25106,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1121007,弯刀,2,1,21107,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221007,折铁剑,2,2,22107,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321007,尖头枪,2,3,23107,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421007,铁脊弓,2,4,24107,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521007,黑羽扇,2,5,25107,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1121008,弯刀,2,1,21108,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221008,折铁剑,2,2,22108,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321008,尖头枪,2,3,23108,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421008,铁脊弓,2,4,24108,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521008,黑羽扇,2,5,25108,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1121009,弯刀,2,1,21109,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221009,折铁剑,2,2,22109,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321009,尖头枪,2,3,23109,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421009,铁脊弓,2,4,24109,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521009,黑羽扇,2,5,25109,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1121010,弯刀,2,1,21110,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1221010,折铁剑,2,2,22110,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1321010,尖头枪,2,3,23110,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1421010,铁脊弓,2,4,24110,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1521010,黑羽扇,2,5,25110,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122001,弯刀,2,1,21201,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222001,折铁剑,2,2,22201,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322001,尖头枪,2,3,23201,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422001,铁脊弓,2,4,24201,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522001,黑羽扇,2,5,25201,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122002,弯刀,2,1,21202,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222002,折铁剑,2,2,22202,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322002,尖头枪,2,3,23202,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422002,铁脊弓,2,4,24202,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522002,黑羽扇,2,5,25202,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122003,弯刀,2,1,21203,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222003,折铁剑,2,2,22203,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322003,尖头枪,2,3,23203,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422003,铁脊弓,2,4,24203,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522003,黑羽扇,2,5,25203,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122004,弯刀,2,1,21204,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222004,折铁剑,2,2,22204,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322004,尖头枪,2,3,23204,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422004,铁脊弓,2,4,24204,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522004,黑羽扇,2,5,25204,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122005,弯刀,2,1,21205,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222005,折铁剑,2,2,22205,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322005,尖头枪,2,3,23205,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422005,铁脊弓,2,4,24205,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522005,黑羽扇,2,5,25205,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122006,弯刀,2,1,21206,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222006,折铁剑,2,2,22206,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322006,尖头枪,2,3,23206,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422006,铁脊弓,2,4,24206,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522006,黑羽扇,2,5,25206,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122007,弯刀,2,1,21207,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222007,折铁剑,2,2,22207,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322007,尖头枪,2,3,23207,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422007,铁脊弓,2,4,24207,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522007,黑羽扇,2,5,25207,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122008,弯刀,2,1,21208,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222008,折铁剑,2,2,22208,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322008,尖头枪,2,3,23208,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422008,铁脊弓,2,4,24208,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522008,黑羽扇,2,5,25208,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122009,弯刀,2,1,21209,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222009,折铁剑,2,2,22209,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322009,尖头枪,2,3,23209,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422009,铁脊弓,2,4,24209,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522009,黑羽扇,2,5,25209,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1122010,弯刀,2,1,21210,10,5,CommonKnife02_Tex,刀身布满各种花纹，如行云似流水，美妙异常，刀尖弯曲，锋似严霜。
1222010,折铁剑,2,2,22210,10,5,CommonSword02_Tex,名师百炼所得宝剑，锋利非常，价值不菲，是一把不可多得的好剑。
1322010,尖头枪,2,3,23210,10,5,CommonSpear02_Tex,枪头磨得十分尖锐，枪杆长半仗，非常好用的兵器，令人生畏。
1422010,铁脊弓,2,4,24210,10,5,CommonBow02_Tex,铁制的弓，弓弦有较好的韧性，射程虽然不是很远，但箭速很快。
1522010,黑羽扇,2,5,25210,10,5,CommonFan02_Tex,以鹰翎所制，做工精细，漆黑的羽毛之中似乎蕴含着某种力量。
1131001,鸣鸿刀,3,1,31101,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231001,破山剑,3,2,32101,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331001,点金枪,3,3,33101,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431001,神臂弓,3,4,34101,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531001,泥金羽扇,3,5,35101,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131002,鸣鸿刀,3,1,31102,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231002,破山剑,3,2,32102,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331002,点金枪,3,3,33102,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431002,神臂弓,3,4,34102,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531002,泥金羽扇,3,5,35102,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131003,鸣鸿刀,3,1,31103,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231003,破山剑,3,2,32103,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331003,点金枪,3,3,33103,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431003,神臂弓,3,4,34103,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531003,泥金羽扇,3,5,35103,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131004,鸣鸿刀,3,1,31104,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231004,破山剑,3,2,32104,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331004,点金枪,3,3,33104,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431004,神臂弓,3,4,34104,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531004,泥金羽扇,3,5,35104,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131005,鸣鸿刀,3,1,31105,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231005,破山剑,3,2,32105,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331005,点金枪,3,3,33105,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431005,神臂弓,3,4,34105,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531005,泥金羽扇,3,5,35105,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131006,鸣鸿刀,3,1,31106,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231006,破山剑,3,2,32106,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331006,点金枪,3,3,33106,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431006,神臂弓,3,4,34106,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531006,泥金羽扇,3,5,35106,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131007,鸣鸿刀,3,1,31107,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231007,破山剑,3,2,32107,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331007,点金枪,3,3,33107,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431007,神臂弓,3,4,34107,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531007,泥金羽扇,3,5,35107,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131008,鸣鸿刀,3,1,31108,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231008,破山剑,3,2,32108,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331008,点金枪,3,3,33108,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431008,神臂弓,3,4,34108,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531008,泥金羽扇,3,5,35108,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131009,鸣鸿刀,3,1,31109,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231009,破山剑,3,2,32109,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331009,点金枪,3,3,33109,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431009,神臂弓,3,4,34109,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531009,泥金羽扇,3,5,35109,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131010,鸣鸿刀,3,1,31110,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231010,破山剑,3,2,32110,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331010,点金枪,3,3,33110,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431010,神臂弓,3,4,34110,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531010,泥金羽扇,3,5,35110,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131011,鸣鸿刀,3,1,31111,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231011,破山剑,3,2,32111,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331011,点金枪,3,3,33111,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431011,神臂弓,3,4,34111,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531011,泥金羽扇,3,5,35111,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
1131012,鸣鸿刀,3,1,31112,12,6,CommonKnife03_Tex,相传此刀乃是金剑出炉之时，剩余的原料自发流向炉底，冷却后自成的宝刀。
1231012,破山剑,3,2,32112,12,6,CommonSword03_Tex,未开锋刃的重剑，看着暗淡无光，却可以轻易斩破宝山巨石。
1331012,点金枪,3,3,33112,12,6,CommonSpear03_Tex,枪头锋利，枪杆却很轻，操作灵活，可斩可刺，收放极快，令敌人防不胜防。
1431012,神臂弓,3,4,34112,12,6,CommonBow03_Tex,制作精良的弓，威力强大，射程和箭速都数上乘，只是此弓沉重无比，一般人可举不动。
1531012,泥金羽扇,3,5,35112,12,6,CommonFan03_Tex,金石为柄，雕翎为扇，再以金丝勾边，做工极其精良。不仅是力量，更是身份和地位的象征。
