试题id,试题类型,题目描述（最多86个汉字）,答案选项（最多5个汉字）,正确答案(填写正确答案的位置),题目倒计时,正确奖励1,正确奖励2,正确奖励3,正确奖励4,正确奖励5,正确奖励6（不要填，会挡住下一题按钮）,错误奖励1,错误奖励2,错误奖励3,错误奖励4,错误奖励5,错误奖励6
id,nType,nDesc,nAnswer,nRightAnswer,nCountDown,nReward1,nReward2,nReward3,nReward4,nReward5,nReward6,nRewardError1,nRewardError2,nRewardError3,nRewardError4,nRewardError5,nRewardError6
int,int,string,string,int,int,string,string,string,string,string,string,string,string,string,string,string,string
46,1,"江东子弟,何惧于天下?”请问,这是哪位名将的台词?",周瑜|孙坚|孙策|太史慈,3,30,103|21|10,,,,,,103|21|5,,,,,
47,1,"刘备和赵云同走进了军营大帐,请问谁脸红了?",马超|关羽|张飞|黄忠,2,30,103|21|10,,,,,,103|21|5,,,,,
48,1,"“美人儿~来香个!”请问,这是哪位名将的台词?",董卓|吕布|曹操|袁术,1,30,103|21|10,,,,,,103|21|5,,,,,
49,1,"“鼠辈,竟敢伤我!”请问,这是哪位名将的台词?",孙策|夏候惇|夏侯渊|太史慈,2,30,103|21|10,,,,,,103|21|5,,,,,
50,1,"相传曹操有一种特别爱好,以下何人与此爱好有关?",蔡文姬|大乔|貂蝉|邹氏,4,30,103|21|10,,,,,,103|21|5,,,,,
51,1,王允利用貂蝉除掉董卓的过程未使用哪个计策？,美人计|连环计|反间计|苦肉计,4,30,103|21|10,,,,,,103|21|5,,,,,
52,1,诸葛亮初出茅庐第一次‘运筹帷幄之中，决胜千里之外’的战役是。,火烧新野|火烧博望坡|安居平五路|火烧赤壁,2,30,103|21|10,,,,,,103|21|5,,,,,
53,1,司马徽见刘备，比诸葛为“兴周八百年之（），旺韩四百年之张子房”,姜子牙|余伯牙|管仲|韩信,1,30,103|21|10,,,,,,103|21|5,,,,,
54,1,赵云在投奔刘备之前，为谁效劳？,曹操|公孙瓒|袁绍|张角,2,30,103|21|10,,,,,,103|21|5,,,,,
55,1,夷陵之战爆发于哪两国之间？,蜀吴|魏吴|魏蜀|没有,1,30,103|21|10,,,,,,103|21|5,,,,,
56,1,孙权死后，谁即位？,孙策|孙羌|孙孺|孙亮,4,30,103|21|10,,,,,,103|21|5,,,,,
57,1,魏延是被谁杀死的？,马超|马岱|赵云|关羽,2,30,103|21|10,,,,,,103|21|5,,,,,
58,1,谁在定军山一役中射杀了夏侯渊？,黄盖|马云禄|黄忠|蒋干,3,30,103|21|10,,,,,,103|21|5,,,,,
59,1,关羽最好读的是哪一本书？,孙子兵法|春秋|哈利波特|论语,2,30,103|21|10,,,,,,103|21|5,,,,,
60,1,是谁辕门射戟帮了刘备？,典韦|张辽|张飞|吕布,4,30,103|21|10,,,,,,103|21|5,,,,,
61,1,谁失了街亭，被孔明斩首？,马谡|马岱|魏延|周瑜,1,30,103|21|10,,,,,,103|21|5,,,,,
62,1,在赤壁一役谁被曹操派去劝降周瑜？,蒋干|司马懿|诸葛亮|周瑜,1,30,103|21|10,,,,,,103|21|5,,,,,
63,1,王允使用哪一计策除掉了董卓？,苦肉计|连环计|走为上计|釜底抽薪,2,30,103|21|10,,,,,,103|21|5,,,,,
64,1,刘备身边的五虎上将中没有谁,关羽|魏延|赵云|张飞,2,30,103|21|10,,,,,,103|21|5,,,,,
65,1,对涛涛（机关人）使用几块板砖一定可以让它吐出东西？,一块|五块|半块|一万块,2,30,103|21|10,,,,,,103|21|5,,,,,
66,1,游戏中主公的六座封地里没有哪一城池？,洛阳|哈尔滨|长安|汉中,2,30,103|21|10,,,,,,103|21|5,,,,,
67,1,下列哪一个物品不属于工坊？,陷阱|自行车|机关|箭塔,2,30,103|21|10,,,,,,103|21|5,,,,,
68,1,卡片传承不会传承哪一项属性？,青龙石|将魂|等级|白虎石,2,30,103|21|10,,,,,,103|21|5,,,,,
69,1,竞技场挑战次数可通过时间积累的上限是,1次|15次|2次|100次,2,30,103|21|10,,,,,,103|21|5,,,,,
70,1,游戏内战斗速度最大倍数是,1倍|2倍|0.5倍|5倍,2,30,103|21|10,,,,,,103|21|5,,,,,
71,1,目前在游戏里没有的兵符套装是,猛虎|饕餮|火凤|苍龙,2,30,103|21|10,,,,,,103|21|5,,,,,
72,1,召虎张辽的主动技能需要多少点士气？,2点|3点|4点|5点,2,30,103|21|10,,,,,,103|21|5,,,,,
73,1,银卡升级金卡相较于金卡升级钻卡所不需要的物品是,等级|升星印|印玉|进阶等级,2,30,103|21|10,,,,,,103|21|5,,,,,
74,1,孙策的专属战器是,方天画戟|霸王枪|诸葛连弩|青龙偃月刀,2,30,103|21|10,,,,,,103|21|5,,,,,
75,1,诸葛亮的专属战器是,沧月|诸葛连弩|方天画戟|丈八蛇矛,2,30,103|21|10,,,,,,103|21|5,,,,,
76,1,王威风和王涵雨的关系是,兄妹|父女|姐弟|母子,2,30,103|21|10,,,,,,103|21|5,,,,,
77,1,国战四个势力中没有的是,魏|晋|蜀|吴,2,30,103|21|10,,,,,,103|21|5,,,,,
78,1,战器消耗需要的物品是,金银币|金银钥匙|天运值|神眷点,2,30,103|21|10,,,,,,103|21|5,,,,,
79,1,玩家在游戏初期提升自己的主要方法是,聊天|卡片升级|打讨伐|氪金,2,30,103|21|10,,,,,,103|21|5,,,,,
80,1,在圣石商店中被作为货币的是哪一类圣石,白虎石|玄武石|青龙石|雨花石,2,30,103|21|10,,,,,,103|21|5,,,,,
81,1,被诸葛亮困于上方谷的是谁父子三人,刘备|司马懿|曹操|马超,2,30,103|21|10,,,,,,103|21|5,,,,,
82,1,长坂坡一战中，被魏将程昱称为“万人敌”的是谁,程咬金|张飞|蔡文姬|李白,2,30,103|21|10,,,,,,103|21|5,,,,,
83,1,关羽在离开曹操时唯一带走的曹操的赠物是,青龙偃月刀|貂蝉|赤兔马|金子,3,30,103|21|10,,,,,,103|21|5,,,,,
84,1,“垂手过膝，目能顾其耳”描述的是谁？,李元芳|伊藤博文|刘备|包拯,3,30,103|21|10,,,,,,103|21|5,,,,,
85,1,曹操与谁“煮酒论英雄”？,庞麦郎|张飞|刘备|莎士比亚,3,30,103|21|10,,,,,,103|21|5,,,,,
86,1,“宁教我负天下人，休教天下人负我”是谁说的？,麦克雷|吕伯奢|曹操|陈真,3,30,103|21|10,,,,,,103|21|5,,,,,
87,1,刘备在汝南大败后逃亡投靠了谁？,刘秀|刘邦|刘表|刘若英,3,30,103|21|10,,,,,,103|21|5,,,,,
88,1,被诸葛亮誉为“天府之国“的是？,大洋洲|三角洲|益州|北美洲,3,30,103|21|10,,,,,,103|21|5,,,,,
89,1,讨伐董卓的十八路诸侯盟主是谁？,曹操|袁术|袁绍|刘备,3,30,103|21|10,,,,,,103|21|5,,,,,
90,1,谁说服了关羽投降曹操？,张飞|刘备|张辽|赵云,3,30,103|21|10,,,,,,103|21|5,,,,,
91,1,吕布的专属战器是？,青龙偃月刀|雌雄双股剑|方天画戟|丈八蛇矛,3,30,103|21|10,,,,,,103|21|5,,,,,
92,1,曹操在官渡之战的主要对手是谁？,秦琼|董卓|袁绍|张飞,3,30,103|21|10,,,,,,103|21|5,,,,,
93,1,诸葛亮为帮助刘备娶到孙夫人，给赵云的锦囊妙计共有几个？,十个|一个|三个|五十个,3,30,103|21|10,,,,,,103|21|5,,,,,
94,1,吕布貂蝉在何处会面被董卓撞见？,铜雀台|雨花亭|凤仪亭|大宅门,3,30,103|21|10,,,,,,103|21|5,,,,,
95,1,三英战吕布发生在何地？,山海关|居庸关|虎牢关|嘉峪关,3,30,103|21|10,,,,,,103|21|5,,,,,
96,1,刘备在“如鱼得水”的典故里把自己比作“鱼”，那么谁是“水”？,孙策|曹操|诸葛亮|周瑜,3,30,103|21|10,,,,,,103|21|5,,,,,
97,1,被人们称为“小霸王”的是东吴哪位君主？,孙坚|孙权|孙策|鲁肃,3,30,103|21|10,,,,,,103|21|5,,,,,
98,1,火烧连营七百里的吴将是？,周瑜|黄盖|陆逊|鲁肃,3,30,103|21|10,,,,,,103|21|5,,,,,
99,1,“乐不思蜀”的后主是谁？,刘璋|刘备|刘禅|刘表,3,30,103|21|10,,,,,,103|21|5,,,,,
100,1,大意失街亭是谁的主要责任？,张飞|关羽|马谡|严颜,3,30,103|21|10,,,,,,103|21|5,,,,,
101,1,被马超追赶，在慌乱中割袍断发改变个人外貌特征的是谁？,詹姆斯|司马光|曹操|曾小贤,3,30,103|21|10,,,,,,103|21|5,,,,,
102,1,曹操中了周瑜的计谋误斩了哪位水师都督？,张辽|司马懿|蔡瑁|徐晃,3,30,103|21|10,,,,,,103|21|5,,,,,
103,1,刘备伐吴失败后在何处托孤丞相诸葛亮？,长城|长安城|白帝城|洛阳城,3,30,103|21|10,,,,,,103|21|5,,,,,
104,1,"“给我翻过来!”请问,这是哪位名将的台词?",曹操|刘备|曹睿|曹丕,4,30,103|21|10,,,,,,103|21|5,,,,,
105,1,"俗话说祸从口出,以下哪位名将,如果你称他为“姐姐”,他可能会削死你?",张飞|关羽|许褚|张郃,4,30,103|21|10,,,,,,103|21|5,,,,,
106,1,死后被孙权追封为皇后的是?,孙尚香|甄姬|步练师|蔡文姬,3,30,103|21|10,,,,,,103|21|5,,,,,
107,1,"“我要你三更死,谁敢留你到五更!”请问,这是哪位名将的台词?",贾诩|郭嘉|曹操|董卓,1,30,103|21|10,,,,,,103|21|5,,,,,
108,1,"用兵之道,变化万千,问,这是哪位名将的台词?",周瑜|司马懿|张郃|诸葛亮,3,30,103|21|10,,,,,,103|21|5,,,,,
109,1,"“主公,快走……”请问,这是哪位名将的台词?",张辽|典韦|曹仁|许褚,2,30,103|21|10,,,,,,103|21|5,,,,,
110,1,吕布是怎么死的？,自刎|病死|缢死|战死,3,30,103|21|10,,,,,,103|21|5,,,,,
111,1,以下哪个兵种不是《三国演义》书中所提到的特殊兵种。,虎豹骑|藤甲兵|连弩兵|大象兵,1,30,103|21|10,,,,,,103|21|5,,,,,
112,1,曹操与刘备在煮酒论英雄中，刘备没有说下面哪一个人物？,刘表|袁术|曹操|袁绍,3,30,103|21|10,,,,,,103|21|5,,,,,
113,1,四十一回在赵子龙单骑救主中，谁被赵子龙杀死？,张郃|曹洪|钟缙|晏明,4,30,103|21|10,,,,,,103|21|5,,,,,
114,1,煮酒论英雄中，刘备共说出多少英雄的名字？,7个|8个|9个|10个,2,30,103|21|10,,,,,,103|21|5,,,,,
115,1,“水淹七军”的发生在争夺何处的战役中？,柴桑城|樊城|豫州|白帝城,2,30,103|21|10,,,,,,103|21|5,,,,,
116,1,是谁命弓箭手用毒箭射伤关羽？,曹仁|曹操|曹丕|司马懿,1,30,103|21|10,,,,,,103|21|5,,,,,
117,1,是哪位道士劝曹操让出官位，曹操不从，于是被其百般戏弄。,左慈|张角|张宝|张让,1,30,103|21|10,,,,,,103|21|5,,,,,
118,1,陆逊的妻子是何人之女？,孙权|孙策|刘备|曹操,2,30,103|21|10,,,,,,103|21|5,,,,,
119,1,是谁提出袁绍十败、曹操十胜的观点？,诸葛亮|郭嘉|司马懿|陆逊,2,30,103|21|10,,,,,,103|21|5,,,,,
120,1,谁与孙策大战，到最后私车袍带，拳打脚踢？,赵云|太史慈|黄盖|马超,2,30,103|21|10,,,,,,103|21|5,,,,,
121,1,谁被曹操评价为“冢中枯骨”？,袁绍|张角|袁术|左慈,3,30,103|21|10,,,,,,103|21|5,,,,,
122,1,蜀汉靖候是谁的谥号？,庞统|刘备|诸葛亮|马超,1,30,103|21|10,,,,,,103|21|5,,,,,
123,1,三国中被称为飞将的著名武将是谁？,马超|赵云|吕布|张飞,3,30,103|21|10,,,,,,103|21|5,,,,,
124,1,号称八骏，据守荆州的一位皇室宗亲是？,刘备|刘禅|刘璋|刘表,4,30,103|21|10,,,,,,103|21|5,,,,,
125,1,谁偷渡阴平，一举灭蜀？,司马懿|典韦|邓艾|蒋干,3,30,103|21|10,,,,,,103|21|5,,,,,
126,1,曹操的哪个儿子因为曹操好色，惹怒张宛死于乱军？,曹植|曹昂|曹仁|庞统,2,30,103|21|10,,,,,,103|21|5,,,,,
127,1,曹丕废汉称帝是哪一年？,建安24年|建安25年|建安27年|建安28年,2,30,103|21|10,,,,,,103|21|5,,,,,
128,1,赤壁一役谁出连环计？,诸葛亮|庞统|吴八千|周瑜,1,30,103|21|10,,,,,,103|21|5,,,,,
129,1,谁射中关羽使得关羽要刮骨疗毒？,庞德|庞统|陆逊|马岱,1,30,103|21|10,,,,,,103|21|5,,,,,
130,1,谁把西蜀地形图交给刘备？,伊择瑞尔|张松|王允|赵云,2,30,103|21|10,,,,,,103|21|5,,,,,
131,1,谁在长坂坡头唬退曹操十万雄兵？,阿尔萨司|左慈|张飞|周瑜,3,30,103|21|10,,,,,,103|21|5,,,,,
132,1,谁孤身一骑于千军万马中救出阿斗？,关羽|张飞|赵云|诸葛亮,3,30,103|21|10,,,,,,103|21|5,,,,,
133,1,吕布最后是死于何处?,麦城|下邳|柴桑城|秣陵,2,30,103|21|10,,,,,,103|21|5,,,,,
134,1,刘备的死因为何?,老死|病死|饿死|战死,2,30,103|21|10,,,,,,103|21|5,,,,,
135,1,刘备在与张飞见面前是卖什么维生的?,草鞋|烧饼|糖葫芦|皮鞋,1,30,103|21|10,,,,,,103|21|5,,,,,
136,1,孙坚的女儿之后成为刘备妻子的是?,孙礼|孙綝|孙綝|孙尚香,4,30,103|21|10,,,,,,103|21|5,,,,,
137,1,在赤壁之战中庞统是服侍哪位君主?,孙策|孙权|刘备|曹操,2,30,103|21|10,,,,,,103|21|5,,,,,
138,1,诸葛亮的(后出师表)是在第几次北伐时呈上?,第一次|第二次|第三次|第五次,2,30,103|21|10,,,,,,103|21|5,,,,,
139,1,下列之中杀了郭淮的是谁?,姜维|赵云|关羽|张飞,1,30,103|21|10,,,,,,103|21|5,,,,,
140,1,下列之中周瑜没有推举的是谁?,陆逊|太史慈|孙策|周仓,1,30,103|21|10,,,,,,103|21|5,,,,,
141,1,相传会带给主人灾害的凶相而让人忌讳但在刘备被蔡瑁追杀时飞越坛溪从追兵，手中救出刘备的马是?,赤兔|的卢|爪黄飞电|绝影无影,2,30,103|21|10,,,,,,103|21|5,,,,,
142,1,张飞的儿子中在蜀国灭亡时担任降使向魏国投降并且跟刘禅一起移送到洛阳的是谁?,张绍|张让|张宝|张均,1,30,103|21|10,,,,,,103|21|5,,,,,
143,1,刘备与刘璋会谈时被庞统命令在舞剑时，若是有机会的话就杀了刘璋的武将是谁?,魏延|马岱|赵云|张飞,1,30,103|21|10,,,,,,103|21|5,,,,,
144,1,刘备攻打成都时庞统向刘备献出了上策中策下策三个策略，请问刘备在这之中选择了哪个策略?,上策|中策|下策|没选,2,30,103|21|10,,,,,,103|21|5,,,,,
145,1,蜀将马谡因为不听从诸葛亮的命令而于街亭之战中战败，请问打败马谡的魏国将军是?,张郃|典韦|许褚|夏侯渊,1,30,103|21|10,,,,,,103|21|5,,,,,
146,1,蜀国五虎将军以关羽为首请问正史中的末席是谁?,赵云|张飞|关羽|马超,1,30,103|21|10,,,,,,103|21|5,,,,,
147,1,蜀国五虎将中最慢成为刘备部下的是?,赵云|张飞|关羽|马超,4,30,103|21|10,,,,,,103|21|5,,,,,
148,1,汜水关之战中成为反董卓军前锋的是?,孙权|孙坚|关羽|张飞,2,30,103|21|10,,,,,,103|21|5,,,,,
149,1,在汜水关之战中被当时默默无名的关羽斩杀的猛将是?,吕布|华雄|蒋干|周仓,2,30,103|21|10,,,,,,103|21|5,,,,,
150,1,荆州沦陷之时与义父关羽一起被斩杀的养子是?,关兴|关定|关平|关索,3,30,103|21|10,,,,,,103|21|5,,,,,
151,1,为了帮助救了母亲性命的恩人孔融单枪匹马突破曹操军的包围和援军刘备会合大败曹操的是谁?,周仓|左慈|太史慈|陆逊,3,30,103|21|10,,,,,,103|21|5,,,,,
152,1,由诸葛亮发明可同时射出复数弓箭的武器是?,连弩|复合弓|长弓|短弓,1,30,103|21|10,,,,,,103|21|5,,,,,
153,1,在江夏之战中射杀孙权部下凌操的人是?,太史慈|甘宁|黄盖|黄忠,2,30,103|21|10,,,,,,103|21|5,,,,,
154,1,赤壁之战开战前决心要和魏开战的孙权说(说出要投降的一律斩!)并斩了某物已示众人请问是斩了何物?,椅子|桌角|杯子|盾牌,2,30,103|21|10,,,,,,103|21|5,,,,,
155,1,听到孙策的死状周瑜赶往孙权身边孙权向周瑜商讨今后的对策，请问此时周瑜推举出的人物是?,陆逊|鲁迅|鲁肃|鲁智深,3,30,103|21|10,,,,,,103|21|5,,,,,
156,1,刘备入蜀后让诸葛亮担任什么职务?,将军|丞相|军师|随从,2,30,103|21|10,,,,,,103|21|5,,,,,
157,1,和诸葛亮在司马徽门下一开始仕官于刘备但是因为曹操的奸计而不得不离开刘备 身边 转仕官于曹操的智将是?,徐庶|鲁肃|诸葛亮|姜维,1,30,103|21|10,,,,,,103|21|5,,,,,
158,1,关羽使用的是什么武器？,青龙偃月刀|方天画戟|青釭剑|连弩,1,30,103|21|10,,,,,,103|21|5,,,,,
159,1,将诸葛瑾推荐给孙权的是谁?,诸葛亮|鲁肃|周瑜|甘宁,2,30,103|21|10,,,,,,103|21|5,,,,,
160,1,“空城计”是谁使用的？,周瑜|诸葛亮|诸葛瑾|司马懿,2,30,103|21|10,,,,,,103|21|5,,,,,
161,1,陶谦麾下酒席间触怒一同守备徐州的张飞，因此得罪张飞被鞭打的是?,曹丕|周仓|曹豹|关兴,3,30,103|21|10,,,,,,103|21|5,,,,,
162,1,王平曾以某位武将的副将隶属于魏但在汉中之战与主将关系险恶所以投降蜀，请问王平当时是谁的副将?,王允|徐晃|许褚|夏侯渊,2,30,103|21|10,,,,,,103|21|5,,,,,
163,1,操为了追击从新野南下的刘备任命在荆州刘琮麾下两名武将为水军指挥官，一人是蔡瑁另一人是?,王允|张允|张郃|许褚,2,30,103|21|10,,,,,,103|21|5,,,,,
164,1,没收孙策持有玉玺即位为皇帝的是谁?,袁绍|袁术|孙权|曹操,2,30,103|21|10,,,,,,103|21|5,,,,,
165,1,桃园三结义是在谁家的院子里举行的?,张飞|刘备|关羽|诸葛亮,1,30,103|21|10,,,,,,103|21|5,,,,,
166,1,苦于头痛的曹操传唤名医华佗但是在说了治疗方式后曹操大为震怒，请问治疗的方式是?,吃药|把头切开|针灸|输液,2,30,103|21|10,,,,,,103|21|5,,,,,
167,1,惹火曹操被关入大牢的华佗自觉将死请问他托付给照顾自己的狱吏的医书名称是?,孙子兵法|青囊书|论语|本草纲目,2,30,103|21|10,,,,,,103|21|5,,,,,
168,1,煮酒论英雄时曹操提到了哪个典故？,望梅止渴|割发代首|割须弃袍|替父从军,1,30,103|21|10,,,,,,103|21|5,,,,,
169,1,在华容道，“三笑三败”的是？,曹操|刘备|周瑜|诸葛亮,1,30,103|21|10,,,,,,103|21|5,,,,,
170,1,“卧龙”是指谁？,周瑜|庞统|诸葛亮|鲁肃,3,30,103|21|10,,,,,,103|21|5,,,,,
171,1,“凤雏”是指谁？,诸葛亮|庞统|吴八千|甘宁,2,30,103|21|10,,,,,,103|21|5,,,,,
172,1,“草船借箭”是谁的计谋？,周瑜|诸葛亮|鲁肃|甘宁,2,30,103|21|10,,,,,,103|21|5,,,,,
173,1,刘备称帝建都于哪里,白帝城|益州|豫州|成都,4,30,103|21|10,,,,,,103|21|5,,,,,
174,1,在“如鱼得水”这个典故里，刘备将自己比作“鱼”，将谁比作“水”？,赵云|关羽|张飞|诸葛亮,4,30,103|21|10,,,,,,103|21|5,,,,,
175,1,“垂手过膝，目能顾其耳”描写的是谁？,刘备|张飞|关羽|马超,1,30,103|21|10,,,,,,103|21|5,,,,,
176,1,孙江葬于何处？,曲阿|丹徒|松江|江都,1,30,103|21|10,,,,,,103|21|5,,,,,
177,1,被诸葛亮困于上方谷的是谁父子三人？,司马师|司马昭|司马懿|司马炎,3,30,103|21|10,,,,,,103|21|5,,,,,
178,1,长坂坡一战中，被魏将程昱成为“万人敌”的是谁?,关羽|张飞|赵云|马超,2,30,103|21|10,,,,,,103|21|5,,,,,
179,1,曹操和袁绍争夺黄河中下游统治权而进行的战役是？,长坂坡之战|赤壁之战|官渡之战|洛伦丹之战,3,30,103|21|10,,,,,,103|21|5,,,,,
